Run Summary        (Smart Cycler 2.0d)
Run Name:,SALM_DILUTION_SERIES_1
Started At:,"Mar 14, 2017 09:36 AM"
Number of Sites:,10

Cycle Data

Instrument C
,C1,C1,C1,C1,C2,C2,C2,C2,C3,C3,C3,C3,C4,C4,C4,C4,C5,C5,C5,C5,C6,C6,C6,C6,C7,C7,C7,C7,C8,C8,C8,C8,C9,C9,C9,C9,C10,C10,C10,C10
,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2
Cycle #,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2
11,0.27555053642011745,0.0,1.0485294117646617,0.0,0.32539682539681963,-12.5,1.6911764705882888,-12.5,0.892672858617128,-6.25,1.8970588235294272,-12.5,0.9542631281761644,-6.25,1.9700722394221055,-6.25,0.7169230769230671,-6.25,1.3970588235294272,-6.25,0.2019704433497509,-6.25,-0.4754901960784288,6.25,0.9976811594202944,-6.25,0.2892156862745452,0.0,-0.19376026272580568,6.25,1.3925008599931596,-6.25,1.8451612903225831,-6.25,3.1294117647058783,-31.25,0.5033462033461839,0.0,0.382352941176471,-6.25
12,0.264822134387335,6.249999999999645,1.7661764705882206,-6.24999999999929,1.2777777777777828,-6.2499999999999964,1.6102941176470722,-6.25,1.5356037151702921,-12.500000000000004,1.5955882352940662,-12.499999999999291,1.5098814229249045,-12.500000000000355,2.5820433436533072,-12.499999999999996,1.3876923076922913,-12.499999999999645,1.8455882352940662,-6.249999999999289,-0.017241379310348748,-6.25,-0.737745098039202,6.25,-1.0549275362318737,18.75,0.49754901960780273,1.734723475976807E-15,1.4225506294471701,-6.25,0.9910560715514374,-1.734723475976807E-15,1.4322580645161092,6.250000000000003,0.8764705882352928,12.500000000000005,1.4378378378378622,-12.5,-0.367647058823529,-7.108029442814967E-13
13,0.25409373235460936,-6.249999999999645,1.4838235294117794,-12.49999999999929,0.23015873015874605,12.500000000000355,0.5294117647058556,6.2500000000007105,0.1785345717233995,6.250000000000355,0.29411764705881893,6.2500000000007105,1.0654997176736445,0.0,2.1940144478843955,-6.250000000000713,1.0584615384615155,-6.2500000000003535,1.294117647058819,-7.105427357601002E-13,-0.2364532019704484,6.25,-0.9999999999999751,-3.552713678800501E-13,-0.10753623188404172,6.250000000000002,0.705882352941174,-12.499999999999998,1.038861521620146,-6.249999999999645,1.5896112831097151,-12.5,1.019354838709692,6.25,-1.3764705882352928,37.50000000000001,0.3723294723294836,-5.204170427930421E-16,-0.117647058823529,9.54097911787244E-16
14,1.2433653303218268,-12.499999999999998,1.2014705882353383,-6.250000000000003,1.1825396825397092,6.250000000000357,0.4485294117647527,6.250000000000708,-0.1785345717234363,12.5,-0.007352941176428374,12.500000000000707,0.6211180124223845,12.499999999999645,1.8059855521155976,-4.163336342344337E-15,0.7292307692307963,6.250000000000355,1.7426470588235716,-6.249999999999288,-0.45566502463054803,6.25,-1.2622549019608051,6.250000000000355,-0.16014492753620982,-6.250000000000355,-0.08578431372545481,6.2500000000007105,1.6551724137931219,-6.2500000000003535,1.1881664946679928,-6.2500000000007105,1.606451612903218,6.250000000000355,-0.6294117647058783,24.999999999999286,0.306821106821105,6.250000000000357,-0.867647058823529,6.249999999999999
15,-0.7673630717108987,12.5,-0.0808823529412166,6.25,2.134920634920616,-6.25,0.3676470588235361,7.105427357601002E-13,0.4643962848297279,-6.249999999999645,-0.30882352941178937,6.25,1.1767363071710677,-3.552713678800501E-13,1.4179566563467996,7.105427357601002E-13,0.40000000000002045,6.249999999999645,1.1911764705882106,-12.49999999999929,0.3251231527093523,-6.25,-1.5245098039215783,6.25,-0.2127536231883779,-6.250000000000355,-0.8774509803921973,12.49999999999929,1.2714833059660409,3.552713678800501E-13,-0.21327829377361573,12.49999999999929,1.193548387096801,-3.552713678800501E-13,0.1176470588235361,-12.5,0.24131274131272643,6.250000000000355,-0.617647058823529,6.2499999999992895
16,0.22190852625637567,6.2500000000003535,-0.36323529411765776,6.2500000000007105,2.087301587301579,3.552713678800501E-13,0.2867647058823195,0.0,0.10732714138289205,-3.552713678800501E-13,0.38970588235296333,-6.250000000000002,1.7323546019198077,-12.500000000000355,1.0299277605778878,7.147060721024445E-13,1.0707692307692447,-6.938893903907228E-16,0.6397058823529633,-6.250000000000003,0.10591133004925268,-3.552713678800501E-13,-0.7867647058823515,6.938893903907228E-16,-0.2653623188406028,-6.250000000000355,0.33088235294117396,-12.5,0.8877941981390167,6.250000000000002,0.385276917784662,-7.105427357601002E-13,2.780645161290327,-24.99999999999964,1.8647058823529505,-37.5,0.17580437580434785,3.552713678800501E-13,-0.367647058823529,-6.2499999999992895
17,0.2111801242235932,-6.25,-0.6455882352940989,1.3877787807814457E-15,3.039682539682542,-6.249999999999998,0.2058823529412166,6.249999999999291,-0.24974200206400063,3.5457747848965937E-13,0.08823529411760234,-6.250000000000712,1.2879728966685478,-6.2500000000003535,0.6418988648090898,-6.250000000000002,0.7415384615384687,6.938893903907228E-16,-0.9117647058823977,12.500000000000714,-0.11330049261084696,12.5,-1.0490196078431246,6.25,-1.317971014492771,18.749999999999645,-0.4607843137254548,-6.25,1.5041050903119926,3.559652572704408E-13,-0.016167870657060282,-6.2499999999992895,1.367741935483853,-6.249999999999645,-0.388235294117635,7.105427357601002E-13,1.1102960102960262,-18.749999999999996,-0.117647058823529,-8.673617379884035E-16
18,0.20045172219086757,-3.552713678800501E-13,-0.9279411764705401,6.250000000000709,2.9920634920635054,-18.749999999999645,0.125,-12.5,0.3931888544891636,-6.25,-0.21323529411764497,0.0,0.8435911914172878,3.570060913560269E-13,0.2538699690402917,-6.250000000000004,1.412307692307693,-6.249999999999646,-1.463235294117645,18.75,0.6674876847290534,-6.25,-0.3112745098038978,6.250000000000003,-1.370579710144939,12.499999999999647,-1.2524509803921973,12.50000000000071,1.1204159824849684,1.3877787807814457E-15,-0.41761265909878253,-6.938893903907228E-16,-0.045161290322564204,25.0,-1.6411764705882206,25.0,0.04478764478764755,-6.250000000000355,-0.867647058823529,12.5
19,0.1897233201580851,-3.5544484022764777E-13,-1.210294117647095,12.49999999999929,2.9444444444444686,-12.500000000000355,1.0441176470587834,-24.999999999999282,-0.9638802889576723,6.250000000000355,-0.5147058823528923,-2.0816681711721685E-15,0.3992094861660278,-6.938893903907228E-16,-1.13415892672862,0.0,1.083076923076917,-6.25,-1.0147058823528923,0.0,1.4482758620689538,-12.499999999999643,0.4264705882352722,-3.561387296180385E-13,0.576811594202893,-18.75,-1.044117647058826,25.0,1.7367268746578874,-6.250000000000003,-0.8190574475403911,6.25,0.5419354838709618,4.163336342344337E-15,-0.8941176470588061,12.49999999999929,-1.020720720720731,12.499999999999645,0.382352941176471,-7.105427357601002E-13
20,0.17899491812535948,-1.734723475976807E-16,-0.4926470588235361,12.499999999999645,0.8968253968253748,18.75,-2.0367647058823195,18.75,-0.3209494324045649,6.2499999999996465,-0.8161764705882533,6.250000000000002,-0.04517221908528903,6.2499999999996465,-1.5221878224974181,12.5,0.7538461538461411,6.25,-0.5661764705882533,-7.133182933216631E-13,0.22906403940885411,6.250000000000355,1.164215686274499,6.249999999999998,-0.4757971014492751,-6.25,-0.8357843137254548,25.0,1.3530377668308633,-6.249999999999643,-1.2205022359821134,12.50000000000071,1.1290322580644878,-12.5,-1.1470588235293917,18.75,-1.0862290862291095,6.249999999999645,0.632352941176471,-7.08461067588928E-13
