Date,File#,Puff site#,Exposure (ms),Recording Length (ms),Flash Length (ms),Start frame of Flash,Start time of Flash (ms),No. of events at site,Max Amp at site,centroid_x (pixels),centoid_y (pixels),t_peak (frames),t_peak (ms),Amplitude (DF/F0),sigmax,sigmay,angle
1107,1,1.019,5,24920,500,850,4250,9,0.2035399736,50.1366563609,102.5122633176,3987,19935,0.1544917928,5.5129942671,3.7674946981,58.4393204326
1107,1,1.019,5,24920,500,850,4250,9,0.2035399736,50.784232563,101.0286483114,4220,21100,0.1363194272,4.6096418545,4.1832885272,89.9991257099
1107,1,1.019,5,24920,500,850,4250,9,0.2035399736,50.294440263,102.3939498273,4232,21160,0.0378964057,4.6678942671,6.808906874,0.0353995977
1107,1,1.019,5,24920,500,850,4250,9,0.2035399736,50.6052286444,102.0267719563,5151,25755,0.1928848504,3.6461618803,3.5792179075,0.035795717
1107,1,1.019,5,24920,500,850,4250,9,0.2035399736,49.5563300747,103.9740196248,5983,29915,0.1973722291,2.2370586747,2.8595502649,0.0001363643
1107,1,1.02,5,24920,500,850,4250,3,0.1889664135,97.1713855498,91.9349938636,1808,9040,0.1031054556,5.5118336411,6.8809786417,15.3995055418
1107,1,1.02,5,24920,500,850,4250,3,0.1889664135,96.5781916266,92.796172125,5573,27865,0.1270494831,4.2615097706,5.69347437,0.0007018247
1107,1,1.02,5,24920,500,850,4250,3,0.1889664135,99.0814736755,92.1829789875,5959,29795,0.1889664135,2.182873979,6.1367300923,67.6872130388
1107,1,1.021,5,24920,500,850,4250,2,0.0411058731,70.3182416887,100.7180700235,1985,9925,0.0411058731,9.9999999976,9.9999995791,87.3989236201
1107,1,1.021,5,24920,500,850,4250,2,0.0411058731,72.5016848704,102.3691407177,4350,21750,0.0387226305,9.9999974014,9.999990246,44.3011114331
1107,1,1.022,5,24920,500,850,4250,7,0.4498563778,38.3402993697,95.4175072972,2044,10220,0.4498563778,3.3517182607,2.6074716397,0.0049284695
1107,1,1.022,5,24920,500,850,4250,7,0.4498563778,38.0701659127,95.4025490158,3504,17520,0.3051482273,2.8494900358,3.0268077145,60.7899411834
1107,1,1.022,5,24920,500,850,4250,7,0.4498563778,38.5228707995,95.2135483518,3756,18780,0.3044431554,3.6344341311,3.1427486708,29.0619902059
1107,1,1.022,5,24920,500,850,4250,7,0.4498563778,37.8450074814,95.4662149443,3952,19760,0.337180827,2.3888572743,2.8683506578,89.9997930483
1107,1,1.022,5,24920,500,850,4250,7,0.4498563778,39.022276815,93.4904376159,4273,21365,0.0628142854,5.5622614959,3.8087608967,17.7243780417
1107,1,1.022,5,24920,500,850,4250,7,0.4498563778,38.0059734466,95.4390492016,5117,25585,0.2969549372,3.5330186785,3.3054481301,2.8381607357
1107,1,1.022,5,24920,500,850,4250,7,0.4498563778,38.2965577381,95.2187197183,5293,26465,0.2943508651,3.6934373084,2.935315189,28.8675816487
1107,1,1.023,5,24920,500,850,4250,2,0.0946276709,82.1053228336,113.2325875035,2092,10460,0.0589958727,5.3687705782,6.3587540811,36.3217586672
1107,1,1.023,5,24920,500,850,4250,2,0.0946276709,83.2176848691,113.4780476034,5084,25420,0.0946276709,6.6927280407,5.2446233651,29.6586962899
1107,1,1.024,5,24920,500,850,4250,6,0.3260100436,96.3159336247,114.4387327715,2105,10525,0.2636806245,2.7691412091,4.3765641846,27.2440106725
1107,1,1.024,5,24920,500,850,4250,6,0.3260100436,96.1536403059,113.9737117191,2262,11310,0.301396281,2.5425880331,3.3894286058,22.7395403145
1107,1,1.024,5,24920,500,850,4250,6,0.3260100436,95.9913425598,114.5253995579,3196,15980,0.3260100436,3.7082050288,2.6246001817,89.9992581933
1107,1,1.024,5,24920,500,850,4250,6,0.3260100436,95.165972599,114.8171711264,4042,20210,0.0547992254,8.8641082792,7.1290516279,89.9654569012
1107,1,1.024,5,24920,500,850,4250,6,0.3260100436,97.287573536,112.6371193978,4355,21775,0.0532573769,7.8679891207,9.9999995551,86.651497484
1107,1,1.024,5,24920,500,850,4250,6,0.3260100436,96.011349733,114.5660616567,4862,24310,0.2966287161,2.5630836839,3.5277010258,10.8452823137
1107,1,1.025,5,24920,500,850,4250,2,0.077734377,68.9140155067,112.6697661157,2164,10820,0.0597807227,9.9999979178,6.1685068727,80.1136272694
1107,1,1.025,5,24920,500,850,4250,2,0.077734377,66.8849031756,110.8173975953,2731,13655,0.077734377,3.1064756187,4.68790951,79.4035815199
1107,1,1.026,5,24920,500,850,4250,1,0.121620444,50.6665567687,39.1592274429,2255,11275,0.121620444,3.7748345885,2.5908944781,48.5984684949
1107,1,1.027,5,24920,500,850,4250,1,0.089313271,61.7666580602,114.6663259952,2410,12050,0.089313271,6.2336319387,2.000000035,22.6088279967
1107,1,1.028,5,24920,500,850,4250,4,0.3186083641,61.4571992184,98.2469227205,2565,12825,0.3186083641,3.8643410968,3.5174319887,31.4306574202
1107,1,1.028,5,24920,500,850,4250,4,0.3186083641,61.1530118214,98.8405453832,4523,22615,0.1130142744,3.8115925862,2.2972712834,52.7688138602
1107,1,1.028,5,24920,500,850,4250,4,0.3186083641,61.4628481087,98.1564404696,5241,26205,0.2514579018,3.5709561889,3.1254999654,11.7911171203
1107,1,1.028,5,24920,500,850,4250,4,0.3186083641,61.3796389418,98.665111313,5766,28830,0.0940068703,2.9626533309,3.8237108317,22.0992395201
1107,1,1.029,5,24920,500,850,4250,1,0.0842574269,42.6695017696,70.4835671588,2627,13135,0.0842574269,3.54090409,2.0035520053,69.1496110582
1107,1,1.03,5,24920,500,850,4250,6,0.356530436,45.375619485,127.9999596915,2698,13490,0.356530436,4.2623128255,3.2769360906,75.8868707193
1107,1,1.03,5,24920,500,850,4250,6,0.356530436,45.3261767105,124.0118543162,3487,17435,0.1213098018,2.6599088619,8.7499916646,60.8686912244
1107,1,1.03,5,24920,500,850,4250,6,0.356530436,45.6047719544,127.6302518089,4401,22005,0.2703417055,5.0868612297,3.1189942699,87.2695013799
1107,1,1.03,5,24920,500,850,4250,6,0.356530436,44.8684986702,125.8391437307,4720,23600,0.2559091713,2.818498125,4.7866323233,21.2635827783
1107,1,1.03,5,24920,500,850,4250,6,0.356530436,44.6455914617,125.3895260595,5795,28975,0.2593507149,3.1740587622,2.5040108284,14.1372170907
1107,1,1.03,5,24920,500,850,4250,6,0.356530436,45.4699779762,126.6441714513,5807,29035,0.0887622802,3.5878793051,4.7400123314,36.1028463539
1107,1,1.031,5,24920,500,850,4250,1,0.1337414256,47.5405081625,49.7348238064,4162,20810,0.1337414256,3.816021504,4.6700176221,7.76557945847411E-005
1107,1,1.032,5,24920,500,850,4250,1,0.054929145,25.6329072728,54.8545442329,2820,14100,0.054929145,8.578572346,5.8510944433,53.0298842127
1107,1,1.033,5,24920,500,850,4250,3,0.1298453402,81.0929427865,117.9578144892,2835,14175,0.1103988748,4.9589062238,5.5863720939,27.7885181874
1107,1,1.033,5,24920,500,850,4250,3,0.1298453402,80.1507013771,118.4133490283,3991,19955,0.1253154805,5.0314077914,4.6605781484,73.5503478179
1107,1,1.033,5,24920,500,850,4250,3,0.1298453402,80.1605813523,118.6300079606,5200,26000,0.1298453402,4.5227992474,4.9226110749,39.3242161259
1107,1,1.034,5,24920,500,850,4250,1,0.0485581461,85.7184722757,117.7292076659,5650,28250,0.0485581461,9.9972267652,9.9999669338,84.9492544595
1107,1,1.035,5,24920,500,850,4250,1,0.107472997,42.6743830623,93.1325779289,2919,14595,0.107472997,2.0000585137,2.0011758302,89.9766101929
1107,1,1.036,5,24920,500,850,4250,1,0.028598697,46.7804333884,110.0042082622,4827,24135,0.028598697,8.9903444717,5.4185066758,26.0974212755
1107,1,1.037,5,24920,500,850,4250,2,0.1041111995,51.0675970865,67.338097173,3093,15465,0.1041111995,4.6662326465,4.2371967878,89.9797590503
1107,1,1.037,5,24920,500,850,4250,2,0.1041111995,51.0076619284,68.342252066,5348,26740,0.079551543,5.8561173269,4.6936315336,42.5506409561
1107,1,1.038,5,24920,500,850,4250,2,0.1318179566,97.4420015095,86.3979766025,3164,15820,0.0674495137,9.7924066211,10,34.545231945
1107,1,1.038,5,24920,500,850,4250,2,0.1318179566,97.9833316454,88.9248398075,3818,19090,0.1318179566,9.9999984611,7.5639684583,72.0265400465
1107,1,1.039,5,24920,500,850,4250,1,0.1224612857,75.5929512054,126.1999700979,3180,15900,0.1224612857,3.0019045774,3.9217877142,10.4122216927
1107,1,1.04,5,24920,500,850,4250,1,0.0777382246,84.1346027356,61.0772922069,3339,16695,0.0777382246,6.5770121923,5.1157717066,52.5788122788
1107,1,1.041,5,24920,500,850,4250,1,0.0451118647,62.9394390528,86.7121448702,4599,22995,0.0451118647,8.6630513388,2.0000178955,22.8328700166
1107,1,1.042,5,24920,500,850,4250,5,0.2439616689,90.4596849678,85.54587574,3470,17350,0.2439616689,2.0844290977,3.6188753754,69.35944251
1107,1,1.042,5,24920,500,850,4250,5,0.2439616689,89.9274295659,85.3967032161,4322,21610,0.0855101916,2.2476658054,4.0643536018,66.6102168501
1107,1,1.042,5,24920,500,850,4250,5,0.2439616689,91.1020619754,85.9704463753,4808,24040,0.1025225986,4.4237824794,3.2373012701,0.0039121239
1107,1,1.042,5,24920,500,850,4250,5,0.2439616689,90.6855433637,85.8494039209,5004,25020,0.1870352396,2.4051576271,3.5955323204,63.7106249047
1107,1,1.042,5,24920,500,850,4250,5,0.2439616689,90.6828306766,85.8865074317,5900,29500,0.1949663016,3.1579336933,2.6473476907,0.0011477204
1107,1,1.043,5,24920,500,850,4250,4,0.1363908487,102.0267455982,108.3036999642,3513,17565,0.096829956,4.5666536318,8.5431720358,73.6631831464
